geohash,estaciones_sitp_100,estaciones_sitp_200,estaciones_sitp_500,estaciones_tm_100,estaciones_tm_200,estaciones_tm_500,supermarkets_100,supermarkets_200,supermarkets_500
d2g749k8,1,1,21,0,0,0,0,0,8
d2g68enn,1,5,26,0,0,0,5,5,11
d2g3bz70,0,2,18,0,0,0,0,1,2
d2g64j6e,1,4,13,1,1,1,0,0,16
d2g6256w,1,1,19,0,0,0,0,0,8
d2g6en6v,2,5,20,0,0,0,0,0,5
d2g62nzd,1,2,18,0,0,0,0,0,2
d2g751rg,0,0,2,0,0,0,0,0,0
d2g6dtqy,4,7,22,0,0,1,0,1,7
d2g68t6f,0,0,19,0,0,0,0,0,1
d2g4ru0n,0,3,19,0,0,0,0,1,10
d2g4przs,0,1,13,0,0,0,0,0,2
d2g750w4,2,3,13,0,0,0,0,0,6
d2g6fs4x,1,4,18,0,0,0,0,0,18
d2g64nwx,1,3,10,0,0,1,0,4,13
d2g6c5rq,2,4,24,0,0,0,0,1,14
d2g6g68m,0,0,14,0,0,0,0,0,6
d2g713x2,0,1,24,0,0,0,0,3,12
d2g718f3,0,8,31,0,0,0,0,0,3
d2g6fzep,2,2,16,0,0,0,0,0,9
d2g68dqc,2,2,18,0,0,0,0,1,4
d2g4r6k0,0,2,10,0,0,0,0,0,2
d2g4r6nx,0,0,14,0,0,0,2,2,2
d2g6g5p5,1,1,8,0,0,0,0,1,14
d2g71d57,0,0,10,0,0,0,0,0,3
d2g748jn,2,4,14,0,0,0,2,3,19
d2g6fx18,0,0,8,0,0,0,0,0,5
d2g6c5er,1,2,13,0,0,0,0,0,8
d2g62t9r,2,5,23,0,0,0,0,0,1
d2g62seb,2,2,14,0,0,0,0,0,8
d2g4re6e,0,3,24,0,0,0,0,0,1
d2g4r9b5,0,0,18,0,0,0,0,0,2
d2g4rv2b,0,2,12,0,0,0,0,0,0
d2g4ru30,2,4,21,0,0,0,1,2,11
d2g60kvt,0,2,18,0,0,2,0,0,1
d2g4rtps,2,2,15,0,0,0,0,0,3
d2g68s2k,1,3,13,0,0,0,0,0,2
d2g7520k,0,0,13,0,0,0,0,0,9
d2g6ervp,1,5,29,0,0,0,1,3,11
d2g624c2,3,5,24,0,0,0,2,9,15
d2g4r6yv,3,7,23,0,0,0,0,0,3
d2g4r30x,0,0,3,0,0,0,0,0,0
d2g4rcyn,2,4,24,0,0,0,0,0,6
d2g3cqkh,0,1,12,0,0,0,0,1,10
d2g6bbz6,2,3,22,0,0,0,0,1,8
d2g6910y,1,2,14,0,0,0,0,0,3
d2g6fu2w,1,2,8,0,0,0,0,1,9
d2g4rbq1,0,0,16,0,0,0,0,0,2
d2g4rbwg,0,4,19,0,0,0,0,1,4
d2g62ezy,0,2,12,0,0,0,0,0,7
d2g4prxk,0,1,26,0,0,0,0,0,3
d2g6ej03,3,4,29,0,0,0,0,1,8
d2g62q3m,0,4,17,0,0,0,0,1,2
d2g4re64,0,5,24,0,0,0,0,0,1
d2g75khw,1,6,22,0,0,0,1,2,9
d2g63ne5,0,0,16,0,0,0,0,0,5
d2g3cqkj,0,1,12,0,0,0,0,0,10
d2g6dezz,0,1,11,0,0,2,0,0,5
d2g62s53,0,2,16,0,0,1,2,3,12
d2g68s2k,1,3,13,0,0,0,0,0,2
d2g751zd,0,0,5,0,0,0,0,0,1
d2g60d8g,0,0,16,0,0,0,0,0,1
d2g6ck3h,0,6,23,0,0,0,0,2,5
d2g63hjt,0,0,3,0,0,0,0,1,2
d2g62nzd,1,2,18,0,0,0,0,0,2
d2g4pr9n,4,5,15,0,0,0,0,3,4
d2g3cprs,0,2,20,0,0,2,0,0,6
d2g62npm,2,5,26,0,0,0,0,1,4
d2g62sgp,0,5,16,0,0,0,0,0,4
d2g4r4rr,0,0,2,0,0,0,1,1,1
d2g4r685,0,0,5,0,0,0,0,1,1
d2g3cwfp,2,4,23,0,0,0,1,1,5
d2g68eet,0,2,16,0,0,0,0,0,5
d2g4r6ju,0,0,13,0,0,0,1,2,2
d2g4r6q8,0,0,15,0,0,0,2,2,2
d2g4ru0h,0,4,19,0,0,0,0,3,10
d2g4r7rs,2,3,33,0,0,0,0,1,1
d2g4rgg0,0,3,22,0,0,0,0,1,12
d2g60r7w,0,6,32,0,0,0,0,2,3
d2g62mhx,2,7,24,0,0,0,0,0,1
d2g61xuk,0,0,19,0,0,0,0,3,14
d2g753r1,0,0,14,0,0,0,0,0,2
d2g6g88e,0,3,17,0,0,0,0,0,1
d2g6gnst,0,3,18,0,0,0,0,2,17
d2g6ghg1,0,3,19,0,0,0,1,2,9
d2g752ym,0,0,8,0,0,0,0,0,1
d2g6cmke,0,1,8,0,0,0,0,0,0
d2g6dwbq,2,2,9,0,0,2,0,0,3
d2g693rd,0,0,16,0,0,1,0,0,6
d2g61spt,0,2,15,0,0,0,0,3,11
d2g4rukq,0,5,19,0,0,0,0,3,8
d2g71c0p,2,3,25,0,0,0,0,0,8
d2g698by,0,0,15,0,0,1,0,0,2
d2g62wgh,0,0,23,0,0,0,0,0,0
d2g6fge0,2,4,17,0,0,1,0,2,30
d2g62mfu,0,1,16,0,0,0,1,1,2
d2g752r4,2,2,15,0,0,0,0,0,5
d2g69xv5,1,2,23,0,0,1,1,2,22
d2g754my,1,4,12,0,0,0,0,0,8
d2g6en5w,0,0,23,0,0,0,0,0,6
d2g6bgzt,0,2,5,0,0,0,0,0,4
d2g6910y,1,2,14,0,0,0,0,0,3
d2g68dmb,0,4,18,0,0,0,0,0,6
d2g62t2r,1,3,19,0,0,0,0,1,1
d2g60mnb,0,0,21,0,0,1,0,0,4
d2g6enup,0,7,18,0,0,0,0,4,13
d2g6dys9,0,1,9,0,0,1,0,2,10
d2g6dzzd,0,2,15,0,0,0,0,0,2
d2g664g3,0,2,16,0,0,1,1,2,13
d2g752x5,0,0,13,0,0,0,0,0,3
d2g718ze,4,6,21,0,0,0,0,0,4
d2g6fgdj,2,3,18,0,0,0,0,2,32
d2g4r6we,2,2,20,0,0,0,0,0,2
d2g712kw,0,2,19,0,0,0,0,0,0
d2g6bgzt,0,2,5,0,0,0,0,0,4
d2g6fz8y,2,4,15,0,0,0,1,4,7
d2g69rkw,0,2,12,0,0,0,2,3,9
d2g33nyb,2,2,11,0,0,0,0,0,0
d2g33nm6,2,2,9,0,0,0,0,0,0
d2g74106,0,1,13,0,0,0,1,1,14
d2g6c59y,2,2,10,0,0,0,0,0,7
d2g6gqbd,1,1,14,0,0,0,0,0,16
d2g6grsq,0,6,19,0,0,0,1,5,20
d2g6946t,0,0,5,0,0,0,0,0,2
d2g62th4,0,1,15,0,0,0,0,0,4
d2g6dwv8,1,3,8,0,0,0,2,2,5
d2g74fh5,0,0,2,0,0,0,0,2,8
d2g6f46v,0,2,10,0,0,0,0,0,2
d2g740xn,1,3,21,0,0,0,0,0,4
d2g6g4ev,2,2,6,0,0,0,0,0,3
d2g61pg1,1,1,31,0,0,0,1,4,18
d2g6epry,0,1,8,0,0,0,0,1,9
d2g6ejss,0,5,19,0,0,0,1,1,3
d2g6946t,0,0,5,0,0,0,0,0,2
d2g6g66j,0,2,19,0,0,0,0,0,10
d2g6ep63,0,6,21,0,0,0,0,1,8
d2g6c5d4,0,4,10,0,0,0,0,2,8
d2g62q2c,3,5,20,0,0,0,1,1,3
d2g62znu,0,0,17,0,0,0,0,8,12
d2g33nsd,0,2,5,0,0,0,0,0,0
d2g4r6k0,0,2,10,0,0,0,0,0,2
d2g33nxr,2,2,13,0,0,0,0,0,0
d2g62njc,0,1,29,0,0,0,0,0,8
d2g6gt6s,0,1,25,0,0,0,0,0,5
d2g33nm4,2,2,9,0,0,0,0,0,0
d2g61xjk,0,0,13,0,0,0,0,0,12
d2g660ne,2,9,25,0,0,0,0,1,14
d2g7189x,2,6,36,0,0,0,0,0,2
d2g62qc0,0,2,11,0,0,0,0,0,2
d2g6grmm,3,4,16,0,0,0,0,2,30
d2g66kr4,1,4,24,0,0,1,0,3,22
d2g4r6pc,0,0,17,0,0,0,0,0,2
d2g33r9v,0,2,8,0,0,0,0,0,0
d2g635zt,0,0,1,0,0,0,0,0,1
d2g61xut,0,0,19,0,0,0,0,1,14
d2g61euv,3,4,19,0,0,0,0,1,16
d2g71f2u,0,0,10,0,0,0,0,0,7
d2g4r6nr,0,0,16,0,0,0,2,2,2
d2g3c3kc,0,2,12,0,0,1,0,0,1
d2g4r3d7,0,2,10,0,0,0,0,0,0
d2g6gt6s,0,1,25,0,0,0,0,0,5
d2g33nwt,1,2,11,0,0,0,0,0,0
d2g66d2c,0,4,24,1,1,1,1,4,17
d2g4r6nx,0,0,14,0,0,0,2,2,2
d2g71c19,0,0,18,0,0,0,0,1,6
d2g4r6yv,3,7,23,0,0,0,0,0,3
d2g33nyb,2,2,11,0,0,0,0,0,0
d2g6bfxr,0,2,11,0,0,0,0,0,2
d2g6f4d1,2,3,12,0,0,0,0,0,2
d2g690uc,0,1,10,0,0,0,0,0,5
d2g625dg,0,4,15,0,0,0,0,0,6
d2g33nm4,2,2,9,0,0,0,0,0,0
d2g4prks,0,4,16,0,0,0,2,2,3
d2g33nzt,1,2,10,0,0,0,0,0,0
d2g741m0,0,3,21,0,0,0,0,1,2
d2g6bfj6,0,3,28,0,0,0,0,1,10
d2g62m7e,2,4,22,0,0,0,0,0,1
d2g4re64,0,5,24,0,0,0,0,0,1
d2g617x8,0,1,11,0,0,0,0,0,4
d2g6f7uz,1,2,9,0,0,2,0,0,11
d2g712uw,0,4,20,0,0,0,0,0,0
d2g60vh1,0,0,16,0,0,1,0,0,2
d2g62nq0,1,4,29,0,0,0,0,1,7
d2g4pqp6,0,0,8,0,0,0,0,0,3
d2g6fssy,2,4,15,0,0,0,0,1,4
d2g6fyk0,0,2,13,0,0,1,0,0,7
d2g6cbur,2,2,17,0,0,0,0,0,25
d2g6c7en,2,4,32,0,0,0,0,0,14
d2g68k4q,1,4,8,0,0,0,1,3,5
d2g4r66v,1,4,11,0,0,0,0,0,1
d2g6bbz0,2,3,20,0,0,0,0,1,6
d2g33nsd,0,2,5,0,0,0,0,0,0
d2g716nm,0,5,9,0,0,0,0,4,12
d2g6bfxr,0,2,11,0,0,0,0,0,2
d2g33nm4,2,2,9,0,0,0,0,0,0
d2g33n7c,1,3,3,0,0,0,0,0,0
d2g740dr,0,0,13,0,0,0,0,8,12
d2g7189x,2,6,36,0,0,0,0,0,2
d2g750kj,0,3,15,0,0,0,0,0,12
d2g33nm4,2,2,9,0,0,0,0,0,0
d2g74gvg,0,1,3,0,0,0,0,0,0
d2g6964n,0,2,12,0,0,0,0,1,11
d2g4r6k0,0,2,10,0,0,0,0,0,2
d2g4rtpe,2,2,15,0,0,0,0,0,3
d2g60ks8,0,2,11,0,0,1,0,0,0
d2g752yk,0,0,7,0,0,0,0,0,1
d2g4rs28,2,5,18,0,0,0,0,0,0
d2g4rdk3,0,0,27,0,0,0,0,0,1
d2g68ssz,0,2,20,0,0,0,0,0,5
d2g719m0,1,3,30,0,0,0,0,2,4
d2g4ru7t,3,4,22,0,0,0,2,2,10
d2g6gj9p,1,1,19,0,0,2,0,0,6
d2g6dtq6,2,7,22,0,0,2,0,2,15
d2g4rv39,2,2,12,0,0,0,0,0,0
d2g644pz,0,3,21,0,0,0,0,0,4
d2g6c5f4,2,2,10,0,0,0,0,0,7
d2g62nq0,1,4,29,0,0,0,0,1,7
d2g62jyq,0,2,24,0,0,0,0,0,8
d2g4r6dn,0,2,8,0,0,0,0,0,1
d2g6ghvw,2,4,12,0,0,0,1,3,8
d2g6gre2,2,3,16,0,0,0,0,4,26
d2g606vk,0,2,18,0,0,0,0,0,1
d2g71f2j,0,0,10,0,0,0,0,0,3
d2g71f1v,0,4,13,0,0,0,0,0,9
d2g62w1v,2,4,22,0,0,0,0,0,0
d2g62s53,0,2,16,0,0,1,2,3,12
d2g61vpx,0,2,21,0,0,1,2,4,18
d2g33nzv,0,3,12,0,0,0,0,0,0
d2g7413t,2,3,18,0,0,0,0,1,13
d2g748ju,0,3,15,0,0,0,0,3,21
d2g4r7pj,4,8,28,0,0,0,0,0,1
d2g719ub,0,6,17,0,0,0,0,1,7
d2g6fjb4,1,3,10,0,0,0,0,0,3
d2g6ck9m,1,2,18,0,0,0,0,0,3
d2g6duf2,0,0,14,0,0,1,0,1,6
d2g62qc0,0,2,11,0,0,0,0,0,2
d2g4rv3d,2,2,11,0,0,0,0,0,0
d2g33nwt,1,2,11,0,0,0,0,0,0
d2g4pr6j,0,3,12,0,0,0,0,1,7
d2g3cqkh,0,1,12,0,0,0,0,1,10
d2g74fh7,0,0,2,0,0,0,0,3,13
d2g751yh,0,0,7,0,0,0,0,0,1
d2g74fh5,0,0,2,0,0,0,0,2,8
d2g62m4e,1,7,32,0,0,0,0,0,2
d2g62qq1,0,4,16,0,0,0,0,0,1
d2g75635,0,1,16,0,0,0,0,0,8
d2g62m4e,1,7,32,0,0,0,0,0,2
d2g4rgc3,0,0,21,0,0,0,3,4,8
d2g6czre,0,3,11,0,1,1,0,0,4
d2g6f5ss,2,3,8,0,0,0,0,1,2
d2g6c4ue,2,2,13,0,0,0,0,1,16
d2g62vu5,0,0,16,0,0,0,0,0,4
d2g6gk21,0,2,10,0,0,0,0,5,13
d2g3c3xu,0,5,23,0,0,0,0,0,0
